index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
642,2009,Del Mar,Fire,Fire Captain,72506,88132.0,119734.0,,,,,119734.0
643,2009,Del Mar,Fire,Fire Engineer,61222,74416.0,105728.0,,,,,105728.0
644,2009,Del Mar,Fire,Fire Engineer,61222,74416.0,105145.0,,,,,105145.0
645,2009,Del Mar,Fire,Fire Engineer,61222,74416.0,94640.0,,,,,94640.0
646,2009,Del Mar,Fire,Firefighter,67368,67368.0,91918.0,,,,,91918.0
647,2009,Del Mar,Fire,Firefighter/Paramedic,61222,74416.0,79507.0,,,,,79507.0
648,2009,Del Mar,Fire,Firefighter/Paramedic,61222,74416.0,95677.0,,,,,95677.0
649,2009,Del Mar,Fire,Firefighter/Paramedic,61222,74416.0,27225.0,,,,,27225.0
650,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,5640.0,,,,,5640.0
651,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,15075.0,,,,,15075.0
652,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,7202.0,,,,,7202.0
653,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,6885.0,,,,,6885.0
654,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,8119.0,,,,,8119.0
655,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,5076.0,,,,,5076.0
656,2009,Del Mar,Fire,Student Firefighter/Paramedic,34216,34216.0,6004.0,,,,,6004.0
